DISTRICT,POPULATION,DISTRICT%
"42/43",3875,0.005100
"42/44",246498,0.324200
"42/45",63826,0.083900
"43/36",660,0.000900
"43/37",252331,0.331900
"43/42",130328,0.171400
"43/43",257469,0.338600
"43/44",114087,0.150000
"44/38",50741,0.066700
"44/42",131305,0.172700
"44/43",175122,0.230300
"44/44",399823,0.525800
"44/45",960,0.001300
"45/31",18404,0.024200
"45/38",37710,0.049600
"45/45",399665,0.525600
"45/46",160371,0.210900
"45/47",142401,0.187300
"46/45",180492,0.237400
"46/46",309053,0.406500
"46/47",268098,0.352600
"47/40",344092,0.452500
"47/45",90406,0.118900
"47/47",324563,0.426900
"48/25",33332,0.043800
"48/41",32425,0.042600
"48/48",280868,0.369400
"48/49",127560,0.167800
"48/50",7133,0.009400
"48/51",276821,0.364100
"48/52",478,0.000600
"49/40",95078,0.125000
"49/48",313771,0.412700
"49/49",341589,0.449300
"49/50",8078,0.010600
"49/52",0,0.000000
"50/25",0,0.000000
"50/49",290977,0.382700
"50/50",375541,0.493900
"50/52",92814,0.122100
"51/50",363342,0.477900
"51/51",393825,0.518000
"51/52",1034,0.001400
"52/50",5244,0.006900
"52/51",89595,0.117800
"52/52",666348,0.876400
