DISTRICT,POPULATION,DISTRICT%
"25/20",78637,0.103400
"25/25",642331,0.844800
"25/48",18638,0.024500
"25/50",5445,0.007200
"25/52",15085,0.019800
"26/26",487969,0.641800
"26/29",84843,0.111600
"26/32",186345,0.245100
"27/20",4418,0.005800
"27/23",295918,0.389200
"27/27",398683,0.524300
"27/30",61537,0.080900
"28/28",391253,0.514600
"28/31",351888,0.462800
"28/34",4912,0.006500
"28/38",12785,0.016800
"29/27",280378,0.368700
"29/29",313221,0.411900
"29/30",99138,0.130400
"29/32",67466,0.088700
"30/30",365557,0.480800
"30/34",261862,0.344400
"30/36",133715,0.175900
"31/28",194206,0.255400
"31/31",205318,0.270000
"31/35",352507,0.463600
"31/39",6436,0.008500
"31/46",2171,0.002900
"32/27",33274,0.043800
"32/29",346833,0.456100
"32/32",379748,0.499400
"33/33",485494,0.638500
"33/39",29519,0.038800
"33/41",245851,0.323300
"34/28",171704,0.225800
"34/30",183407,0.241200
"34/31",129521,0.170300
"34/34",274747,0.361300
"35/23",218373,0.287200
"35/31",7963,0.010500
"35/35",404881,0.532500
"35/39",126838,0.166800
"35/46",1685,0.002200
"36/30",48429,0.063700
"36/32",125563,0.165100
"36/34",52226,0.068700
"36/36",255970,0.336600
"36/37",14038,0.018500
"36/42",264738,0.348200
"36/43",0,0.000000
"37/34",3434,0.004500
"37/36",75579,0.099400
"37/37",459259,0.604000
"37/42",222382,0.292500
"38/31",31403,0.041300
"38/34",6278,0.008300
"38/38",443119,0.582800
"38/44",218133,0.286900
"38/45",60804,0.080000
"39/39",595837,0.783600
"39/41",124331,0.163500
"39/46",40933,0.053800
"40/40",548839,0.721800
"40/46",208687,0.274500
"40/47",2245,0.003000
"41/20",2834,0.003700
"41/25",126878,0.166900
"41/33",51775,0.068100
"41/41",353014,0.464300
"41/48",225811,0.297000
"42/34",153989,0.202500
"42/36",218319,0.287100
"42/37",86179,0.113300
"42/42",269030,0.353800
"42/44",32550,0.042800
"43/37",103491,0.136100
"43/43",656416,0.863300
"44/36",74107,0.097500
"44/37",92097,0.121100
"44/38",5599,0.007400
"44/43",102159,0.134400
"44/44",486446,0.639800
"45/31",3035,0.004000
"45/38",184944,0.243200
"45/44",18903,0.024900
"45/45",494040,0.649800
"45/47",59717,0.078500
"46/31",28928,0.038000
"46/40",9874,0.013000
"46/45",26807,0.035300
"46/46",270083,0.355200
"46/47",424927,0.558900
"47/38",112133,0.147500
"47/40",200784,0.264100
"47/45",176471,0.232100
"47/47",271957,0.357700
"48/41",33864,0.044500
"48/46",234453,0.308300
"48/48",266390,0.350400
"48/49",225505,0.296600
"49/48",165633,0.217800
"49/49",442416,0.581900
"49/50",152077,0.200000
"50/49",90131,0.118500
"50/50",482497,0.634600
"50/51",182730,0.240300
"50/52",3980,0.005200
"51/48",81378,0.107000
"51/50",50774,0.066800
"51/51",510531,0.671400
"51/52",117558,0.154600
"52/49",0,0.000000
"52/50",69630,0.091600
"52/51",65870,0.086600
"52/52",625174,0.822200
