AREA,PROPORTIONAL,COMPETITIVE,MINORITY,COMPACT,SPLITTING,POPULATION,DISTRICT%,CUMULATIVE%
379,15,16,13,14,15,1192,0.0015,0.9991
380,1,2,2,1,2,1125,0.0014,0.9992
381,9,10,8,12,9,1091,0.0014,0.9992
382,16,18,16,16,18,1069,0.0014,0.9993
383,3,3,2,3,3,1027,0.0013,0.9993
384,5,6,14,13,12,1021,0.0013,0.9994
385,22,24,22,20,22,973,0.0013,0.9994
386,17,18,16,16,18,968,0.0012,0.9995
387,5,6,6,12,5,948,0.0012,0.9995
388,6,6,4,7,5,927,0.0012,0.9996
389,3,3,3,2,3,915,0.0012,0.9996
390,1,1,1,2,2,906,0.0012,0.9997
391,16,14,13,15,15,821,0.0011,0.9997
392,3,4,4,3,13,811,0.0010,0.9997
393,15,16,16,16,17,728,0.0009,0.9998
394,6,10,5,9,9,716,0.0009,0.9998
395,25,24,25,24,24,688,0.0009,0.9998
396,2,2,2,1,2,655,0.0008,0.9999
397,9,6,9,7,6,623,0.0008,0.9999
398,15,15,13,14,15,571,0.0007,0.9999
399,23,23,23,20,21,508,0.0007,1.0000
400,6,10,8,7,9,462,0.0006,1.0000
401,6,7,4,4,5,334,0.0004,1.0000
402,24,24,25,24,26,105,0.0001,1.0000
403,13,13,12,10,7,26,0.0000,1.0000
404,12,12,11,8,14,5,0.0000,1.0000
