GEOID,AREA
240430115021058,1
240217505061018,1
240217519023016,1
240217516002002,1
240217510032005,1
240430102001047,1
240217676001036,1
240010019002002,1
240010022002025,1
240010011002032,1
240430005001015,1
240430109013008,1
240430107003039,1
240217735003001,1
240430112021004,1
240430010022017,1
240430003011003,1
240217676002002,1
240217501001021,1
240430112042011,1
240217528021009,1
240430107004045,1
240010007001023,1
240217522062004,1
240217651003001,1
240217522011013,1
240217529002057,1
240230007002037,1
240217516001022,1
240230006011007,1
240430109021026,1
240010005002028,1
240217518022011,1
240010023001032,1
240217505064002,1
240010021002006,1
240430102001041,1
240010021001040,1
240217502002020,1
240430115011018,1
240430106004001,1
240430010023012,1
240430009003035,1
240430103001014,1
240010008001026,1
240217505082016,1
240217507022003,1
240010017003013,1
240430106001025,1
240217510031020,1
240010018001006,1
240217707001009,1
240430108023000,1
240430117002000,1
240217522011007,1
240217523033022,1
240430113014018,1
240217668002021,1
240430103002025,1
240230007002050,1
240217522061035,1
240430004003010,1
240217508041036,1
240010015021037,1
240217523032010,1
240430006011016,1
240217518013005,1
240010015021016,1
240430002003004,1
240217508012017,1
240010005001018,1
240010014021030,1
240010016001050,1
240430111005024,1
240430001001018,1
240430115023010,1
240230006021001,1
240217651001020,1
240230001001023,1
240430009002005,1
240217521022052,1
240217668002040,1
240430002001011,1
240217676002046,1
240217517021015,1
240430108032010,1
240217505064008,1
240217508013018,1
240217707002014,1
240230002001010,1
240217528022018,1
240010012002034,1
240230007001018,1
240430010012041,1
240217508024026,1
240217513013044,1
240230007002075,1
240010001001020,1
240430115021002,1
240217516001005,1
240217525012019,1
240430009003025,1
240217508041035,1
240230004001023,1
240430115012035,1
240230005023014,1
240430107004016,1
240230007001041,1
240430003011001,1
240217517011010,1
240217516001020,1
240217517011012,1
240010010001042,1
240430113021000,1
240230007002051,1
240230005011029,1
240010008001085,1
240217529001022,1
240430102004022,1
240430108033008,1
240217512011038,1
240217508022013,1
240010021002007,1
240430106002031,1
240430111003026,1
240217526033003,1
240230006022032,1
240430107002039,1
240217523021015,1
240217402003025,1
240230001002056,1
240230005021028,1
240430114002039,1
240010005002014,1
240217510031006,1
240430102001045,1
240010012002044,1
240010021001031,1
240217676001050,1
240217529001028,1
240217525011033,1
240430109012002,1
240010002003000,1
240217529001045,1
240430112022018,1
240010019001062,1
240010013001022,1
240217510041036,1
240217707001005,1
240230003002047,1
240217526011012,1
240010022003060,1
240010005001020,1
240430113013003,1
240010023001027,1
240217508041008,1
240430104021016,1
240230007002008,1
240010013001039,1
240217528021021,1
240430113021050,1
240217519036002,1
240217519042027,1
240430106001018,1
240217519042003,1
240230002001047,1
240430101001009,1
240230003002035,1
240430109013010,1
240430112022001,1
240217675002011,1
240217506003009,1
240217510031007,1
240010023004046,1
240010022002033,1
240010010001036,1
240217522011033,1
240230003002101,1
240010001002066,1
240217525013010,1
240010012002014,1
240217676001032,1
240217522051008,1
240217530011000,1
240230006021045,1
240217529002045,1
240217530016002,1
240430005001004,1
240230006022035,1
240230006013032,1
240010021003012,1
240010007002031,1
240430111001014,1
240230006021058,1
240430010012013,1
240217528022038,1
240217528022022,1
240217651002007,1
240010016001057,1
240010001003001,1
240217516002008,1
240230005023003,1
240430107002037,1
240217722002025,1
240217526031007,1
240430112022020,1
240217517022015,1
240430107004038,1
240430114001041,1
240430109021007,1
240217521022033,1
240010022002040,1
240430104021003,1
240430102001037,1
240217523033014,1
240430106004020,1
240010011001029,1
240230003002111,1
240217528012009,1
240217513021020,1
240230002002063,1
240430104021007,1
240010001002072,1
240217508022018,1
240230007002056,1
240430109021018,1
240217513022020,1
240230001002092,1
240430005003015,1
240010001002056,1
240430112043011,1
240230001003007,1
240010008001042,1
240217506001013,1
240430106002025,1
240010007002008,1
240217519021004,1
240010012002008,1
240217525022006,1
240217707002033,1
240230002002049,1
240010001003048,1
240010015021007,1
240010010001066,1
240230004003024,1
240010019002000,1
240230002001009,1
240230001003020,1
240010014012002,1
240217529001053,1
240217505052013,1
240010020003014,1
240430003012021,1
240430115021006,1
240430106003008,1
240217513021014,1
240217651001012,1
240010015032005,1
240430103001015,1
240230005021007,1
240430113013004,1
240430009003001,1
240217722002016,1
240430108021017,1
240217508011011,1
240217513013024,1
240217506001000,1
240217505061013,1
240217528022039,1
240010008001067,1
240430106001076,1
